timestamp_ms,x,y,z
302117,0.31,0.49,0.00
302130,0.55,0.49,0.00
302143,0.79,0.55,0.06
302156,0.31,0.49,0.06
302169,0.73,0.55,0.06
302182,0.85,0.55,0.06
302195,0.24,0.43,0.06
302208,0.18,0.43,0.06
302222,0.85,0.49,0.06
302235,0.37,0.49,0.00
302248,0.61,0.49,0.00
302261,0.98,0.49,0.06
302274,0.37,0.43,0.00
302287,0.49,0.43,0.00
302300,0.61,0.49,0.00
302313,0.61,0.49,0.06
302326,0.61,0.49,0.06
302339,0.67,0.49,0.00
302353,0.79,0.49,0.00
302366,0.43,0.43,0.00
302380,0.61,0.43,0.00
302393,1.04,0.49,0.00
302406,0.43,0.49,0.12
302419,0.43,0.49,0.12
302432,1.10,0.49,0.06
302446,0.49,0.49,0.06
302458,0.24,0.43,0.00
302472,0.98,0.49,0.00
302485,0.49,0.43,0.00
302498,0.73,0.49,0.12
302511,1.10,0.61,0.18
302524,0.85,0.55,0.18
302537,0.67,0.55,0.18
302550,1.04,0.55,0.24
302563,0.98,0.55,0.31
302576,1.65,0.55,0.31
302590,1.10,0.55,0.24
302603,0.61,0.49,0.06
302616,0.67,0.43,0.06
302631,0.55,0.37,-0.12
302644,0.55,0.37,-0.18
302657,0.37,0.43,-0.12
302670,0.18,0.43,-0.12
302684,0.61,0.37,-0.18
302698,0.43,0.37,-0.18
302711,0.24,0.37,-0.18
302724,0.18,0.37,-0.18
302738,0.24,0.31,-0.18
302751,0.61,0.31,-0.18
302764,0.73,0.31,-0.18
302777,0.67,0.37,-0.12
302791,0.55,0.37,-0.12
302804,0.24,0.31,-0.12
302816,0.24,0.18,-0.18
302829,0.49,0.24,-0.18
302842,0.37,0.24,-0.18
302855,-0.12,0.31,-0.18
302868,0.00,0.37,-0.06
302881,1.22,0.43,-0.06
302894,0.67,0.43,0.00
302907,-0.18,0.24,-0.06
302920,0.43,0.43,0.00
302933,0.43,0.43,0.00
302946,-0.37,0.43,-0.12
302960,-0.06,0.43,-0.06
302973,0.98,0.55,0.06
302986,0.37,0.55,0.00
302999,0.37,0.61,0.12
303012,0.85,0.61,0.18
303025,0.98,0.61,0.18
303038,0.37,0.61,0.12
303051,0.85,0.61,0.18
303065,0.31,0.61,0.18
303079,-0.06,0.55,0.12
303093,0.49,0.49,0.06
303106,0.49,0.49,0.12
303120,0.61,0.43,0.00
303133,0.43,0.37,-0.06
303147,-0.12,0.37,-0.12
303160,-0.12,0.31,-0.12
303173,0.06,0.31,-0.06
303186,0.98,0.49,0.06
303199,1.10,0.49,0.12
303213,0.85,0.49,0.06
303225,0.92,0.49,0.06
303238,1.04,0.55,0.00
303251,0.92,0.49,0.00
303264,0.31,0.43,-0.06
303277,0.18,0.49,0.06
303290,-0.61,0.49,0.12
303303,-1.28,0.37,0.12
303316,7.08,0.85,0.18
303329,6.16,0.98,0.18
303342,-7.32,0.06,-0.24
303356,-3.66,0.31,0.12
303369,1.77,0.61,0.37
303384,2.81,0.67,-0.12
303398,-1.89,0.37,-0.31
303412,0.73,0.67,0.18
303426,0.92,0.79,0.55
303439,-0.55,0.55,0.37
303452,0.85,0.55,0.24
303465,2.93,0.67,0.12
303478,0.37,0.49,-0.06
303491,-2.38,0.18,-0.12
303504,-1.28,0.31,0.06
303517,1.59,0.55,0.31
303530,2.38,0.61,0.24
303545,0.61,0.49,0.06
303560,1.28,0.49,0.06
303573,-0.06,0.49,-0.06
303587,-1.89,0.37,-0.12
303600,-0.06,0.43,0.00
303613,2.14,0.73,0.37
303626,1.04,0.67,0.37
303640,1.28,0.67,0.31
303653,1.10,0.67,0.31
303666,0.37,0.61,0.18
303679,0.43,0.55,0.06
303692,0.43,0.49,0.06
303705,0.43,0.49,0.12
303718,3.17,0.67,0.24
303730,3.66,0.79,0.31
303744,-2.44,0.31,-0.12
303757,-0.98,0.37,-0.06
303771,0.98,0.49,-0.06
303783,0.79,0.43,-0.24
303796,0.12,0.37,-0.31
303809,-0.31,0.43,-0.06
303822,0.00,0.49,0.12
303835,0.98,0.55,0.24
303851,1.77,0.61,0.24
303866,1.71,0.55,0.06
303880,1.46,0.55,0.00
303893,-0.98,0.37,0.00
303906,-0.49,0.37,0.06
303919,1.10,0.55,0.31
303932,0.18,0.49,0.18
303945,0.61,0.55,0.18
303958,1.46,0.61,0.24
303971,0.55,0.61,0.18
303984,-0.06,0.61,0.12
303997,0.85,0.61,0.18
304010,1.34,0.73,0.18
304023,-0.55,0.55,0.06
304037,-0.73,0.43,-0.06
304050,0.85,0.49,-0.06
304063,0.31,0.49,-0.12
304076,-1.04,0.37,0.00
304089,-0.73,0.43,0.12
304102,2.87,0.73,0.37
304116,2.26,0.67,0.24
304128,-1.28,0.49,0.00
304141,-1.04,0.43,0.06
304154,1.16,0.55,0.12
304168,1.71,0.55,0.00
304180,-0.18,0.31,-0.18
304194,1.28,0.49,0.00
304207,-0.37,0.49,0.12
304220,0.37,0.55,0.12
304233,1.40,0.55,0.12
304246,0.43,0.49,0.00
304259,0.85,0.49,0.00
304272,-0.06,0.43,0.06
304285,-0.06,0.43,0.12
304298,0.37,0.49,0.31
304311,1.71,0.61,0.24
304324,1.46,0.55,0.18
304338,0.55,0.43,0.00
304352,0.92,0.43,0.00
304366,-0.18,0.37,-0.06
304379,-0.98,0.37,0.00
304392,0.67,0.43,0.06
304405,0.73,0.49,0.06
304418,-0.06,0.49,0.00
304431,1.04,0.61,0.12
304444,1.46,0.61,0.18
304457,0.98,0.61,0.18
304470,0.67,0.61,0.12
304484,0.49,0.55,0.12
